ID,Speed,X,Y,VehicleNo,Battery,TimeStart,TimeEnd,Time
0,60,77.21826676,28.65495085,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:00:00
1,60,77.21821594,28.65514143,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:05:00
2,60,77.21817709,28.65528714,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:10:00
3,60,77.21815005,28.65538856,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:15:00
4,60,77.21811767,28.65550999,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:20:00
5,60,77.21807315,28.65567698,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:25:00
6,60,77.21800078,28.65594839,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:30:00
7,60,77.21796608,28.65607854,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:35:00
8,60,77.21791469,28.65627126,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:40:00
9,60,77.21788012,28.6564009,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:45:00
10,60,77.21781751,28.65661034,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:50:00
11,60,77.21777707,28.65673331,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 00:55:00
12,60,77.21773024,28.65683484,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:00:00
13,60,77.21767068,28.65696398,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:05:00
14,60,77.21763193,28.65704798,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:10:00
15,60,77.21753452,28.65728871,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:15:00
16,60,77.21750206,28.65740194,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:20:00
17,60,77.21744488,28.6576171,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:25:00
18,60,77.21738133,28.65785466,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:30:00
19,60,77.21731748,28.65809332,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:35:00
20,60,77.21727847,28.65823136,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:40:00
21,60,77.21718431,28.6585513,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:45:00
22,60,77.21710232,28.65882987,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:50:00
23,60,77.21702554,28.65908888,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 01:55:00
24,60,77.21692458,28.65944642,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:00:00
25,60,77.2168708,28.6596449,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:05:00
26,60,77.21684698,28.65985495,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:10:00
27,60,77.21682165,28.66020339,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:15:00
28,60,77.21685122,28.66053164,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:20:00
29,60,77.2168963,28.6607698,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:25:00
30,60,77.21701144,28.66108911,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:30:00
31,60,77.2171001,28.6612947,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:35:00
32,60,77.21724293,28.66150721,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:40:00
33,60,77.21739709,28.66166372,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:45:00
34,60,77.21753241,28.66183152,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:50:00
35,60,77.21771717,28.66199934,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 02:55:00
36,60,77.21789493,28.6621367,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:00:00
37,60,77.21808579,28.66224759,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:05:00
38,60,77.21843894,28.66240564,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:10:00
39,60,77.21880997,28.66254606,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:15:00
40,60,77.21908315,28.66261802,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:20:00
41,60,77.21945141,28.66266704,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:25:00
42,60,77.21970566,28.66268896,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:30:00
43,60,77.21983827,28.66269722,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:35:00
44,60,77.22000225,28.66269117,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:40:00
45,60,77.22021511,28.66266235,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:45:00
46,60,77.22039346,28.66262474,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:50:00
47,60,77.22057412,28.66257606,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 03:55:00
48,60,77.22071278,28.6625387,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 04:00:00
49,60,77.22096464,28.66246974,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 04:05:00
50,60,77.221277,28.66239808,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 04:10:00
51,60,77.22167119,28.66233295,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 04:15:00
52,60,77.22196728,28.66230857,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 04:20:00
53,60,77.2227225,28.6623244,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 04:25:00
54,60,77.22305614,28.6623509,30039961133,40,27-05-2025 16:00,30-05-2025 18:00,2025-05-27 04:30:00
