gauge_id,latitude,longitude,timestamp,name,obsTrend,waterLevelChange_feet,rfc_name,state_abbreviation,state_name,status_observed_floodCategory,status_observed_primary,status_observed_primaryUnit,status_observed_secondary,status_observed_secondaryUnit,wfo_abbreviation,wfo_name
LNDN7,35.415315,-81.5608,8/12/2025 10:15 AM,First Broad River at Lawndale,Falling,-0.27,Southeast River Forecast Center,NC,North Carolina,no_flooding,5.24,ft,1.3,kcfs,GSP,Greer
NEUN7,35.94,-78.57555556,8/12/2025 10:15 AM,Neuse River above Neuse River Below Falls Dam,Rising,0.03,Southeast River Forecast Center,NC,North Carolina,no_flooding,3.22,ft,2.34,kcfs,RAH,Raleigh
NFBG1,33.84166667,-84.32194444,8/12/2025 10:15 AM,North Fork Peachtree Creek at Briarwood Road near Atlanta,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,2.39,ft,-999,kcfs,FFC,Peachtree City
RSCG1,34.57722222,-84.94194444,8/12/2025 10:15 AM,Oostanaula River at Resaca,Rising,0.04,Southeast River Forecast Center,GA,Georgia,no_flooding,3,ft,0.98,kcfs,FFC,Peachtree City
SFYV2,36.647995,-82.749237,8/12/2025 10:15 AM,Clinch River near Speers Ferry,No change,0,Lower Mississippi River Forecast Center,VA,Virginia,no_flooding,3.15,ft,0.443,kcfs,MRX,Morristown
SWEG1,34.03222222,-84.08944444,8/12/2025 10:15 AM,Suwanee Creek at Suwanee,Falling,-0.04,Southeast River Forecast Center,GA,Georgia,no_flooding,1.03,ft,0.0815,kcfs,FFC,Peachtree City
TAZT1,36.425,-83.39833333,8/12/2025 10:15 AM,Clinch River above Tazewell,Falling,-0.01,Lower Mississippi River Forecast Center,TN,Tennessee,no_flooding,1.37,ft,0.565,kcfs,MRX,Morristown
WSHS1,34.39166667,-82.22361111,8/12/2025 10:15 AM,Saluda River near WARE SHOALS,Falling,-0.03,Southeast River Forecast Center,SC,South Carolina,no_flooding,3.71,ft,1.01,kcfs,GSP,Greer
ARRN7,36.40444444,-80.56194444,8/12/2025 10:15 AM,Ararat River at Ararat,No change,0,Southeast River Forecast Center,NC,North Carolina,no_flooding,1.41,ft,0.322,kcfs,RNK,Blacksburg
BLVG1,34.845,-83.93861111,8/12/2025 10:15 AM,Nottely River near Blairsville,Rising,0.01,Lower Mississippi River Forecast Center,GA,Georgia,no_flooding,3.14,ft,0.303,kcfs,FFC,Peachtree City
CVLG1,34.16380556,-84.7277222,8/12/2025 10:15 AM,Etowah River at Allatoona Lake near Cartersville,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,838.9,ft,-999,kcfs,FFC,Peachtree City
NPBG1,33.83138889,-84.34277778,8/12/2025 10:15 AM,North Fork Peachtree Creek at Buford Highway at Atlanta,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,4.07,ft,0.0197,kcfs,FFC,Peachtree City
PRCG1,33.79416667,-84.47444444,8/12/2025 10:15 AM,Proctor Creek at Jackson Parkway at Atlanta,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,3.26,ft,0.0023,kcfs,FFC,Peachtree City
PSYG1,34.90583333,-83.72222222,8/12/2025 10:15 AM,Hiwassee River near Streak Hill Road near Hiawassee,Rising,0.01,Lower Mississippi River Forecast Center,GA,Georgia,no_flooding,2.04,ft,0.0532,kcfs,FFC,Peachtree City
RCKN7,34.94583333,-79.86972222,8/12/2025 10:15 AM,Pee Dee River near Rockingham,No change,0,Southeast River Forecast Center,NC,North Carolina,no_flooding,4.04,ft,7.91,kcfs,RAH,Raleigh
SMCG1,33.97916667,-84.45222222,8/12/2025 10:15 AM,Sewell Mill Creek at GA 120 near Marietta,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,1.08,ft,-999,kcfs,FFC,Peachtree City
STHG1,33.67888889,-84.35805556,8/12/2025 10:15 AM,South River at Forrest Park Road at Atlanta,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,3.06,ft,0.0167,kcfs,FFC,Peachtree City
UTYG1,33.74333333,-84.56833333,8/12/2025 10:15 AM,Utoy Creek at Great Southwest Parkway near Atlanta,Rising,0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,2.77,ft,0.0056,kcfs,FFC,Peachtree City
BOCN7,35.9222,-79.0658,8/12/2025 10:15 AM,Bolin Creek at Village Drive,Falling,-0.01,Southeast River Forecast Center,NC,North Carolina,no_flooding,1.55,ft,-999,kcfs,RAH,Raleigh
CNWS1,33.83277778,-79.04416667,8/12/2025 10:15 AM,Waccamaw River near Conway,Rising,0.02,Southeast River Forecast Center,SC,South Carolina,action,10.62,ft,-999,kcfs,ILM,Wilmington
HFXN7,36.33111,-77.58028,8/12/2025 10:15 AM,Roanoke River at Halifax,Falling,-0.52,Southeast River Forecast Center,NC,North Carolina,no_flooding,24.27,ft,-999,kcfs,RAH,Raleigh
PNHN7,36.31930349,-80.0500424,8/12/2025 10:15 AM,Dan River at Pine Hall,Falling,-0.01,Southeast River Forecast Center,NC,North Carolina,no_flooding,2.37,ft,0.342,kcfs,RNK,Blacksburg
SFPG1,33.81044444,-84.2479722,8/12/2025 10:15 AM,South Fork Peachtree Creek at Casa Drive at Clarkston,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,3.14,ft,0.0016,kcfs,FFC,Peachtree City
BSGV2,36.86888889,-82.77555556,8/12/2025 10:15 AM,Powell River at Big Stone Gap,Falling,-0.01,Lower Mississippi River Forecast Center,VA,Virginia,no_flooding,2.57,ft,0.111,kcfs,MRX,Morristown
BSPN7,35.210833,-81.6975,8/12/2025 10:15 AM,"Broad River above Sandy Run Ck, 3 SSW Boiling Springs",Falling,-0.19,Southeast River Forecast Center,NC,North Carolina,no_flooding,5.98,ft,6.72,kcfs,GSP,Greer
MONN7,35.62722222,-79.11611111,8/12/2025 10:15 AM,Deep River near Moncure,Rising,0.04,Southeast River Forecast Center,NC,North Carolina,no_flooding,3.07,ft,1.71,kcfs,RAH,Raleigh
NELS1,34.66416667,-81.44916667,8/12/2025 10:15 AM,Broad River in NC/SC at Neal Shoals Reservoir,Rising,0.11,Southeast River Forecast Center,SC,South Carolina,no_flooding,335.16,ft,-999,kcfs,GSP,Greer
TKRN7,35.28777778,-83.14388889,8/12/2025 10:15 AM,Tuckasegee River at sr1172 nr Cullowhee,Falling,-0.01,Lower Mississippi River Forecast Center,NC,North Carolina,no_flooding,5.65,ft,0.56,kcfs,GSP,Greer
CCPS1,33.69,-81.25416667,8/12/2025 10:15 AM,Cedar Creek near Thor ,No change,0,Southeast River Forecast Center,SC,South Carolina,no_flooding,2.39,ft,-999,kcfs,CAE,West Columbia
GATV2,36.60861111,-82.56805556,8/12/2025 10:15 AM,North Fork Holston River near Gate City,No change,0,Lower Mississippi River Forecast Center,VA,Virginia,no_flooding,1.84,ft,0.203,kcfs,MRX,Morristown
GVLS1,34.8,-82.3651213,8/12/2025 10:15 AM,Reedy River at Greenville @ I-85,Falling,-0.02,Southeast River Forecast Center,SC,South Carolina,no_flooding,0.91,ft,0.0584,kcfs,GSP,Greer
KNOT1,35.94583333,-83.94666667,8/12/2025 10:15 AM,Tennessee River at Knoxville,Falling,-0.04,Lower Mississippi River Forecast Center,TN,Tennessee,no_flooding,812.98,ft,61.9,kcfs,MRX,Morristown
NCRG1,33.99722222,-84.20194444,8/12/2025 10:15 AM,Chattahoochee River at Highway 141 near Norcross,Falling,-0.31,Southeast River Forecast Center,GA,Georgia,no_flooding,3.44,ft,1.91,kcfs,FFC,Peachtree City
NHPN7,35.65444444,-79.06833333,8/12/2025 10:15 AM,Haw River at Jordan Lake,Falling,-0.02,Southeast River Forecast Center,NC,North Carolina,no_flooding,217.68,ft,-999,kcfs,RAH,Raleigh
OOBT1,35.3276313,-84.7051057,8/12/2025 10:15 AM,Oostanaula Creek at Sanford 1SE,Falling,-0.01,Lower Mississippi River Forecast Center,TN,Tennessee,no_flooding,2.45,ft,0.061,kcfs,MRX,Morristown
PLLN7,35.01,-77.21889,8/12/2025 10:15 AM,Trent River at Pollocksville,Falling,-0.02,Southeast River Forecast Center,NC,North Carolina,no_flooding,1.82,ft,-999,kcfs,MHX,Newport
RBPS1,33.994722,-81.023889,8/12/2025 10:15 AM,Rocky  Branch (SC) at Pickens Street Columbia,No change,0,Southeast River Forecast Center,SC,South Carolina,no_flooding,2.69,ft,-999,kcfs,CAE,West Columbia
RWSG1,34.0175,-84.35333333,8/12/2025 10:15 AM,Big Creek below Hog Wallow at Roswell,Falling,-0.05,Southeast River Forecast Center,GA,Georgia,no_flooding,2.97,ft,0.12,kcfs,FFC,Peachtree City
TFLG1,34.73194444,-83.37583333,8/12/2025 10:15 AM,Tallulah River above TALLULAH FALLS PWR HOUSE,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,5.19,ft,0.0463,kcfs,GSP,Greer
WNDN7,36.04805556,-76.98416667,8/12/2025 10:15 AM,Cashie River near Windsor,No change,0,Southeast River Forecast Center,NC,North Carolina,no_flooding,3.45,ft,0,kcfs,AKQ,Wakefield
WSSN7,35.757912,-78.623826,8/12/2025 10:15 AM,Walnut Creek (NC) at S. State St.,Falling,-0.05,Southeast River Forecast Center,NC,North Carolina,no_flooding,3.61,ft,-999,kcfs,RAH,Raleigh
CTRG1,34.6165833,-84.673111,8/12/2025 10:15 AM,Coosawattee River at Carters Lake near Carters,Rising,0.08,Southeast River Forecast Center,GA,Georgia,action,1074.07,ft,-999,kcfs,FFC,Peachtree City
DILN7,35.38444444,-83.29166667,8/12/2025 10:15 AM,Tuckasegee River at Barkers creek nr Dillsboro,Falling,-0.01,Lower Mississippi River Forecast Center,NC,North Carolina,no_flooding,3.86,ft,0.485,kcfs,GSP,Greer
GCBG1,34.26944444,-83.46777778,8/12/2025 10:15 AM,Grove Creek at US 441 and GA 15 near Commerce,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,6.85,ft,0.0419,kcfs,FFC,Peachtree City
GLDN7,35.3375,-77.9975,8/12/2025 10:15 AM,Neuse River near Goldsboro,Rising,0.04,Southeast River Forecast Center,NC,North Carolina,no_flooding,13.48,ft,6.09,kcfs,RAH,Raleigh
NANG1,33.83822222,-84.43927778,8/12/2025 10:15 AM,Nancy Creek at West Wesley Road at Atlanta,Falling,-0.03,Southeast River Forecast Center,GA,Georgia,no_flooding,2.22,ft,0.0336,kcfs,FFC,Peachtree City
SWFN7,35.23083333,-77.11388889,8/12/2025 10:15 AM,Swift Creek above Streets Ferry,Rising,0.09,Southeast River Forecast Center,NC,North Carolina,no_flooding,2.02,ft,-999,kcfs,MHX,Newport
TARN7,35.89416667,-77.53305556,8/12/2025 10:15 AM,Tar River at Tarboro,Falling,-0.09,Southeast River Forecast Center,NC,North Carolina,no_flooding,6.28,ft,1.87,kcfs,RAH,Raleigh
WALG1,34.26333333,-84.59555556,8/12/2025 10:15 AM,Shoal Creek at GA 108 near Waleska,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,2.25,ft,0.004,kcfs,FFC,Peachtree City
WODG1,34.12222222,-84.50444444,8/12/2025 10:15 AM,Little River at GA 5 near Woodstock,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,1,ft,0.045,kcfs,FFC,Peachtree City
BALG1,34.31055556,-84.40333333,8/12/2025 10:15 AM,Sharp Mountain Creek at Old GA 5 below Ball Ground,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,3.14,ft,0.0647,kcfs,FFC,Peachtree City
CHES1,34.70833333,-79.875,8/12/2025 10:15 AM,Pee Dee River at Cheraw,Rising,0.52,Southeast River Forecast Center,SC,South Carolina,no_flooding,8.2,ft,7.1,kcfs,CAE,West Columbia
KILN7,35.43416667,-81.03,8/12/2025 10:15 AM,Killian Creek near MARIPOSA,Falling,-0.03,Southeast River Forecast Center,NC,North Carolina,no_flooding,3.43,ft,0.0469,kcfs,GSP,Greer
LRLS1,34.50075,-82.008944,8/12/2025 10:15 AM,Little River at Gordon Street in Laurens,Rising,0.05,Southeast River Forecast Center,SC,South Carolina,no_flooding,2.72,ft,-999,kcfs,GSP,Greer
LRZN7,35.822,-78.352,8/12/2025 10:15 AM,Little River (NC) near Zebulon,Falling,-0.03,Southeast River Forecast Center,NC,North Carolina,no_flooding,2.91,ft,-999,kcfs,RAH,Raleigh
LUCN7,35.691111,-78.10972,8/12/2025 10:15 AM,Contentnea Creek near Lucama,Rising,0.1,Southeast River Forecast Center,NC,North Carolina,no_flooding,4.52,ft,0.322,kcfs,RAH,Raleigh
MBHN7,36.14972222,-78.89666667,8/12/2025 10:15 AM,Mountain Creek at SR1617 Nr Bahama,Falling,-0.04,Southeast River Forecast Center,NC,North Carolina,no_flooding,4.51,ft,-999,kcfs,RAH,Raleigh
MNCG1,34.70305556,-84.53944444,8/12/2025 10:15 AM,Mountaintown Creek at GA 282 near Ellijay,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,3.17,ft,0.103,kcfs,FFC,Peachtree City
SLTS1,35.08388889,-82.46,8/12/2025 10:15 AM,North Saluda River at Highway 11,Rising,0.11,Southeast River Forecast Center,SC,South Carolina,no_flooding,4.48,ft,0.11,kcfs,GSP,Greer
SPJG1,33.80277778,-84.34083333,8/12/2025 10:15 AM,South Fork Peachtree Creek at Johnson Road near Atlanta,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,3.5,ft,0.014,kcfs,FFC,Peachtree City
ARTT1,36.5425219,-83.6300294,8/12/2025 10:15 AM,Powell River near Arthur,Falling,-0.01,Lower Mississippi River Forecast Center,TN,Tennessee,no_flooding,2.74,ft,0.368,kcfs,MRX,Morristown
BKCN7,35.309167,-80.673611,8/12/2025 10:15 AM,Back Creek at Caldwell Rd near Harrisburg,Rising,0.66,Southeast River Forecast Center,NC,North Carolina,no_flooding,3.25,ft,0.0242,kcfs,GSP,Greer
DALN7,36.29888889,-80.43138889,8/12/2025 10:15 AM,Little Yadkin River near Dalton,No change,0,Southeast River Forecast Center,NC,North Carolina,no_flooding,0.57,ft,0.0117,kcfs,RNK,Blacksburg
LAWS1,34.94805556,-81.86888889,8/12/2025 10:15 AM,Lawsons Fork Creek at Spartanburg,Falling,-0.22,Southeast River Forecast Center,SC,South Carolina,no_flooding,7.22,ft,0.465,kcfs,GSP,Greer
POCT1,35.7077,-83.3826,8/12/2025 10:15 AM,Porters Creek 3S Pittman Center (Greenbrier),No change,0,Lower Mississippi River Forecast Center,TN,Tennessee,no_flooding,0.59,ft,-999,kcfs,MRX,Morristown
STWG1,33.94111111,-84.10777778,8/12/2025 10:15 AM,Sweetwater Creek (E ATL) at Club Drive near Lilburn,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,2.98,ft,0.0113,kcfs,FFC,Peachtree City
YESG1,33.8530556,-84.0783333,8/12/2025 10:15 AM,Yellow River near Snellville,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,6.06,ft,0.121,kcfs,FFC,Peachtree City
BRSS1,34.88333333,-82.30138889,8/12/2025 10:15 AM,Brushy Creek near Old Spartanburg Rd,No change,0,Southeast River Forecast Center,SC,South Carolina,no_flooding,1.75,ft,0.0166,kcfs,GSP,Greer
CALG1,34.51888889,-84.95444444,8/12/2025 10:15 AM,Oostanaula River at Calhoun,Rising,0.03,Southeast River Forecast Center,GA,Georgia,no_flooding,3.58,ft,-999,kcfs,FFC,Peachtree City
CHAS1,34.17444444,-81.86416667,8/12/2025 10:15 AM,Saluda River at Chappells,Rising,0.06,Southeast River Forecast Center,SC,South Carolina,no_flooding,6.41,ft,2.6,kcfs,CAE,West Columbia
DOGG1,33.65388889,-84.82111111,8/12/2025 10:15 AM,Dog River at GA 5 near Fairplay,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,3.35,ft,0.0133,kcfs,FFC,Peachtree City
LNDN7,35.415315,-81.5608,8/12/2025 10:15 AM,First Broad River at Lawndale,Falling,-0.27,Southeast River Forecast Center,NC,North Carolina,no_flooding,5.24,ft,1.3,kcfs,GSP,Greer
NFBG1,33.84166667,-84.32194444,8/12/2025 10:15 AM,North Fork Peachtree Creek at Briarwood Road near Atlanta,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,2.39,ft,-999,kcfs,FFC,Peachtree City
RSCG1,34.57722222,-84.94194444,8/12/2025 10:15 AM,Oostanaula River at Resaca,Rising,0.04,Southeast River Forecast Center,GA,Georgia,no_flooding,3,ft,0.98,kcfs,FFC,Peachtree City
SFYV2,36.647995,-82.749237,8/12/2025 10:15 AM,Clinch River near Speers Ferry,No change,0,Lower Mississippi River Forecast Center,VA,Virginia,no_flooding,3.15,ft,0.443,kcfs,MRX,Morristown
SWEG1,34.03222222,-84.08944444,8/12/2025 10:15 AM,Suwanee Creek at Suwanee,Falling,-0.04,Southeast River Forecast Center,GA,Georgia,no_flooding,1.03,ft,0.0815,kcfs,FFC,Peachtree City
TAZT1,36.425,-83.39833333,8/12/2025 10:15 AM,Clinch River above Tazewell,Falling,-0.01,Lower Mississippi River Forecast Center,TN,Tennessee,no_flooding,1.37,ft,0.565,kcfs,MRX,Morristown
WSHS1,34.39166667,-82.22361111,8/12/2025 10:15 AM,Saluda River near WARE SHOALS,Falling,-0.03,Southeast River Forecast Center,SC,South Carolina,no_flooding,3.71,ft,1.01,kcfs,GSP,Greer
ARRN7,36.40444444,-80.56194444,8/12/2025 10:15 AM,Ararat River at Ararat,No change,0,Southeast River Forecast Center,NC,North Carolina,no_flooding,1.41,ft,0.322,kcfs,RNK,Blacksburg
BLVG1,34.845,-83.93861111,8/12/2025 10:15 AM,Nottely River near Blairsville,Rising,0.01,Lower Mississippi River Forecast Center,GA,Georgia,no_flooding,3.14,ft,0.303,kcfs,FFC,Peachtree City
CVLG1,34.16380556,-84.7277222,8/12/2025 10:15 AM,Etowah River at Allatoona Lake near Cartersville,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,838.9,ft,-999,kcfs,FFC,Peachtree City
NPBG1,33.83138889,-84.34277778,8/12/2025 10:15 AM,North Fork Peachtree Creek at Buford Highway at Atlanta,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,4.07,ft,0.0197,kcfs,FFC,Peachtree City
PRCG1,33.79416667,-84.47444444,8/12/2025 10:15 AM,Proctor Creek at Jackson Parkway at Atlanta,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,3.26,ft,0.0023,kcfs,FFC,Peachtree City
PSYG1,34.90583333,-83.72222222,8/12/2025 10:15 AM,Hiwassee River near Streak Hill Road near Hiawassee,Rising,0.01,Lower Mississippi River Forecast Center,GA,Georgia,no_flooding,2.04,ft,0.0532,kcfs,FFC,Peachtree City
SMCG1,33.97916667,-84.45222222,8/12/2025 10:15 AM,Sewell Mill Creek at GA 120 near Marietta,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,1.08,ft,-999,kcfs,FFC,Peachtree City
STHG1,33.67888889,-84.35805556,8/12/2025 10:15 AM,South River at Forrest Park Road at Atlanta,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,3.06,ft,0.0167,kcfs,FFC,Peachtree City
UTYG1,33.74333333,-84.56833333,8/12/2025 10:15 AM,Utoy Creek at Great Southwest Parkway near Atlanta,Rising,0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,2.77,ft,0.0056,kcfs,FFC,Peachtree City
GCKN7,35.13027778,-80.63138889,8/12/2025 10:15 AM,Goose Creek at Hwy 1524 nr Indian Trail,Rising,0.22,Southeast River Forecast Center,NC,North Carolina,no_flooding,0.86,ft,0.019,kcfs,GSP,Greer
KINN7,35.25777778,-77.58555556,8/12/2025 10:15 AM,Neuse River at Kinston,Rising,0.01,Southeast River Forecast Center,NC,North Carolina,no_flooding,11.18,ft,4.52,kcfs,MHX,Newport
MYVT1,35.785536,-83.884703,8/12/2025 10:15 AM,Little River (TN) near Maryville,Rising,0.04,Lower Mississippi River Forecast Center,TN,Tennessee,no_flooding,5.92,ft,0.282,kcfs,MRX,Morristown
NBSG1,34.0218611,-84.5529444,8/12/2025 10:15 AM,Noonday Creek Upstream of Chastain Meadows Parkway near Kennesaw,Falling,-0.04,Southeast River Forecast Center,GA,Georgia,no_flooding,2.44,ft,-999,kcfs,FFC,Peachtree City
NCKG1,33.86916667,-84.37888889,8/12/2025 10:15 AM,Nancy Creek at Rickenbacker Drive at Atlanta,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,1.37,ft,0.055,kcfs,FFC,Peachtree City
BOCN7,35.9222,-79.0658,8/12/2025 10:15 AM,Bolin Creek at Village Drive,Falling,-0.01,Southeast River Forecast Center,NC,North Carolina,no_flooding,1.55,ft,-999,kcfs,RAH,Raleigh
CNWS1,33.83277778,-79.04416667,8/12/2025 10:15 AM,Waccamaw River near Conway,Rising,0.02,Southeast River Forecast Center,SC,South Carolina,action,10.62,ft,-999,kcfs,ILM,Wilmington
HFXN7,36.33111,-77.58028,8/12/2025 10:15 AM,Roanoke River at Halifax,Falling,-0.52,Southeast River Forecast Center,NC,North Carolina,no_flooding,24.27,ft,-999,kcfs,RAH,Raleigh
PNHN7,36.31930349,-80.0500424,8/12/2025 10:15 AM,Dan River at Pine Hall,Falling,-0.01,Southeast River Forecast Center,NC,North Carolina,no_flooding,2.37,ft,0.342,kcfs,RNK,Blacksburg
SFPG1,33.81044444,-84.2479722,8/12/2025 10:15 AM,South Fork Peachtree Creek at Casa Drive at Clarkston,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,3.14,ft,0.0016,kcfs,FFC,Peachtree City
